,HAYC,HAYC,HAYC ,HAYC,HAYC,MEGD ,MEGD,HAYC,NHDR,NVD,HEFZ,HAYC,ELWT,ELWT,HAYC,HAYT,HTLA,HTLA,MOTZ,MOTZ,KHH,YIFT 
TAXON,MP 1/2,MP 3,MP 4,MP 5/6,UP,UP,KEB,KEB,KEB,GKEB,GKEB,EN,EN,LN,LN,LN,LN,PPNA,EPPNB,MPPNB,MPPNB,MPPNB
Ungulates,,,,,,,,,,,,,,,,,,,,,,
Capreolus capreolus,1,7,2,1,77,0,1,16,17,26,0,5,2,1,1,26,57,11,2,1,1,0
Dama mesopotamica,34,156,738,234,798,16,58,198,5414,780,1685,47,24,3,30,90,49,7,3,0,2,0
Cervus elaphus,11,24,92,26,236,6,10,72,0,8,0,23,0,0,13,19,7,3,0,0,0,1
Cervidae,7,44,183,83,51,5,14,93,0,0,0,41,0,0,27,13,0,0,0,0,2,18
Gazella gazella,101,244,792,746,6253,160,453,1039,12528,1540,6169,1496,1068,300,883,5008,4512,1785,2881,289,568,1974
Capra aegagrus,1,4,1,1,103,7,19,36,0,0,0,17,0,0,8,35,45,23,201,96,166,182
Bos primigenius,17,29,127,105,77,5,1,53,43,13,212,11,5,7,4,93,76,31,100,18,77,304
Sus scrofa,5,20,84,67,52,4,7,63,10,9,11,50,42,6,43,85,67,13,358,60,50,383
Equus sp.,0,5,11,6,3,1,1,3,100,0,1,0,0,0,1,0,0,0,0,0,0,0
Alcephalus busephalus,0,0,0,0,12,0,0,0,154,6,7,0,0,0,0,0,9,0,0,0,0,0
Diocerorhinus hemitoechus,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Ungulate,105,268,1006,589,ND,131,427,722,ND,ND,ND ,1018,2873,697,574,123,5894,341,1155,88,831,59
Medium Ungulate,54,335,1694,550,ND,89,210,537,ND,ND,ND ,87,88,7,52,108,106,61,298,50,194,642
Large Ungulate,28,69,192,166,ND,6,14,110,ND,ND,ND ,22,6,1,10,17,62,23,50,9,111,54
Carnivores,,,,,,0,,,,,,,,,,,,,,,,
Felis sp.,2,0,2,5,67,2,1,6,15,0,7,54,25,3,51,52,13,45,154,18,65,34
Canis sp.,0,0,4,1,1,0,0,1,5,10,0,3,20,0,3,31,9,3,5,3,1,7
Vulpes vulpes,3,7,8,0,147,2,6,9,190,41,105,116,186,43,153,373,141,439,973,106,162,316
Meles meles,0,0,0,0,0,0,0,0,0,0,0,13,11,2,20,21,27,8,4,2,0,2
Martes foina,0,1,2,0,5,0,4,0,0,1,0,17,19,6,15,8,3,50,17,5,1,10
Vormela peregusna,0,0,0,0,0,0,0,0,0,0,0,12,1,0,5,7,11,9,0,0,5,0
